,English Sentences,Hindi Sentences,Word Count (English),Word Count (Hindi),Difference between Word Count (English) and Word Count (Hindi)
1379,Milk and water will be sifted. ,दूध का दूध और पानी का पानी हो जाएगा. ,31,37,-6
1383,"Modi, Sushma mislead nation on Doklam: Congress ",मोदी व सुषमा ने डोकलाम पर गुमराह किया: कांग्रेस ,48,48,0
1387,me excited ,रोमांचित हूं। ,11,14,-3
1392,Sets a 4 - to - 3 video aspect ratio ,4 से 3 वीडियो ऑस्पेक्ट रेशो सेट करता है ,37,40,-3
1394,A case has not been filed yet. ,अभी केस दर्ज नहीं किया गया है. ,31,31,0
1395,But I have never forgotten it. ,लेकिन मैंने उसका पीछा नहीं छोड़ा. ,31,34,-3
1408,"""They believe the Bible is infallible. ",उसकी कविताएँ बाइबिल से अनूदित हैं। ,39,35,4
1414,I have heard carefully from all the parties. ,मैंने सभी पक्षों की बात गंभीरता से सुनी है' ,45,44,1
1421,4 held for looting passengers ,मालवाहक गाड़ी लूटने वाले 4 काबू ,30,32,-2
1422,Justice should be the same for everyone. ,अधिकार सबके लिए समान होने चाहिएं। ,41,34,7
1425,New delhi is the capital of India ,भारत की राजधानी नई दिल्ली है। ,34,30,4
1426,"""The community of nations responded as one. ",देशों के समुदाय ने एकजुट होकर जवाब दिया। ,44,41,3
1427,Chinese communists have the power of gun. ,चीनी कम्यूनिस्ट के पास बंदूक की ताकत है. ,42,41,1
1435,Just once. ,बस एक बार. ,11,11,0
1436,Restrictions further eased in Jammu and Kashmir ,जम्मू-कश्मीर: चरणबद्ध तरीके से पाबंदियों में ढील ,48,49,-1
1443,panic-struck ,भययुक्त ,13,8,5
1447,He did not even make a statement. ,यहां तक कि उसके बयान भी नहीं लिए। ,34,34,0
1451,Sajjan Kumar (Photo: PTI) ,सज्जन कुमार (फोटो: पीटीआई) ,26,27,-1
1456,She confessed to having tortured the boy. ,उसने बच्ची से दुष्कर्म करने की बात कबूल की है। ,42,47,-5
1469,"However, he faces opposition from the villagers. ",हालांकि इसका ग्रामीणों की ओर से विरोध जारी है. ,49,47,2
1470,"""The prize money of this award is rupees 10 lacs. ",इस मैराथन की ईनामी राशि 10 लाख रूपए होगी। ,50,42,8
1473,Friends advice worked ,सहपाठियों की सलाह काम आई ,22,25,-3
1478,"""The farmers said their ",किसानों का कहना है कि गांव ,24,27,-3
1482,This lowers the risk of breakouts. ,इससे कटने-छिलने की आशंका कम होती है। ,35,37,-2
1490,Sometimes yes. ,अलबत्ता कभी-कभी। ,15,17,-2
1492,He will be produced in court on Sunday. ,शुक्रवार को उसे अदालत में पेश किया जाएगा। ,40,42,-2
1493,steep price hike ,कीमतों में जोरदार तेजी ,17,23,-6
1500,This activates metabolism. ,इससे मेटाबॉलिज्म सक्रिय हो जाता है. ,27,36,-9
1502,Many people started trolling her. ,कई लोग उन्हें ट्रोल करने लगे। ,34,30,4
1506,So how much will it contribute to revenues? ,तो इससे ब्रांड के राजस्व में कितनी बढ़त होगी? ,44,45,-1
1518,post card ,पोस्ट कार्ड ,10,12,-2
1524,Many times accidents have happened on this route. ,इस दौरान सड़क हादसे की कई घटनाएं हुई हैं। ,50,42,8
1528,"(through Regional Committee of MQM, Peshawar) ",(द्वारा एम क्यु एम प्रान्तीय कमिटी पेशावर) ,46,43,3
1529,Dividend free of tax ,कर मुक्त लाभांश ,21,16,5
1531,Hindu society will no more tolerate this. ,इसे हिंदू समाज किसी सूरत में सहन नहीं करेगा। ,42,45,-3
1534,on the right and on the left in groups? ,दाएँ और बाएँ से गिरोह के गिरोह ,40,31,9
1535,Cops sensitised on crime against women ,महिला अपराधों पर संवेदनशीलता दिखाए पुलिस ,39,41,-2
1542,You will get complete success in job or business. ,नौकरी या बिजनेस में आपको पूरी सफलता मिलेगी। ,50,44,6
1544,But the department failed to do so. ,लेकिन विभाग की ओर से यह काम नहीं किया गया। ,36,43,-7
1552,Could not create new project ,परियोजना आयात नहीं की जा सकी ,29,29,0
1554,Plan the steps involved. Anticipate obstacles. ,फिर सोचिए कि आप उन्हें कैसे पार कर सकते हैं । ,47,46,1
1558,Notes that cannot be identified for any reason ,"ऐसे नोट, जिनकी किसी भी कारण से पहचान न हो सके ",47,46,1
1561,Login with required credentials. ,मान्य क्रेडेंशियल्स के साथ लॉगिन करें. ,33,39,-6
1567,Client Submit Time ,क्लाएंट सबमिट समय ,19,18,1
1572,Indian workers stuck in Libya to be back in Aug ,लीबिया में फंसे भारतीय कामगार स्वदेश लौटेंगे ,48,45,3
1573,She was alone at home at the time. ,वर्तमान में अकेले घर में रहते थे। ,35,34,1
1578,"""They're using their hands. ",वो अपने हाथों का इस्तेमाल करते हैं | ,28,37,-9
